"No.","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","","matrix type","","thickness/μm","","","","T/℃","P/bar","Control CH4 permeability","Control CO2 permeability","Control CO2/CH4 selectivity","Relative CH4 permeability","Relative CO2 permeability","Relative CO2/CH4 selectivity"
"3","2018 ","1 ","Cu3BTC2","","100","1232","8.6","8.6","5.00%","","Azide-PMP","","60","","","","30.0 ","2","10.50 ","97.20 ","9.26 ","0.50 ","0.91 ","1.83 "
"4","","","Cu3BTC2","","100","1232","8.6","8.6","10.00%","","Azide-PMP","","60","","","","30.0 ","2","10.50 ","97.20 ","9.26 ","0.50 ","1.05 ","2.09 "
"5","","","Cu3BTC2","","100","1232","8.6","8.6","15.00%","","Azide-PMP","","60","","","","30.0 ","2","10.50 ","97.20 ","9.26 ","0.52 ","1.28 ","2.44 "
"6","","","Cu3BTC2","","100","1232","8.6","8.6","20.00%","","Azide-PMP","","60","","","","30.0 ","2","10.50 ","97.20 ","9.26 ","0.56 ","1.48 ","2.63 "
"8","2010","2","CuTPA","","1500","625","5.2","5.2","15.00%","","PVAc","","","","","","","","0.07 ","2.44 ","35.01 ","1.16 ","1.34 ","1.16 "
"10","2017","3","MMIF","","45","420","3.35","3.35","10.00%","","Matrimid 5218","","","","","","35.0 ","4","0.19 ","6.82 ","35.89 ","1.11 ","1.19 ","1.07 "
"11","","","MMIF","","45","420","3.35","3.35","20.00%","","Matrimid 5218","","60","","","","35.0 ","4","0.19 ","6.82 ","35.89 ","1.34 ","1.27 ","0.95 "
"12","","","MMIF","","45","420","3.35","3.35","10.00%","","Matrimid 5218","","40","","","","35.0 ","4","0.19 ","6.82 ","35.89 ","0.98 ","1.06 ","1.08 "
"18","2010","4","Cu3(BTC)2","","10000","1071","8.6","8.6","10.00%","","Matrimid 5218","","42.5","","2.82","","35","10","0.56 ","9.90 ","17.80 ","1.27 ","1.56 ","1.22 "
"19","","","Cu3(BTC)2","","10000","1071","8.6","8.6","20.00%","","Matrimid 5218","","42.5","","3.38","","35","10","0.56 ","9.90 ","17.80 ","1.31 ","1.64 ","1.25 "
"20","","","Cu3(BTC)2","","10000","1071","8.6","8.6","30.00%","","Matrimid 5218","","42.5","","3.7","","35","10","0.56 ","9.90 ","17.80 ","1.37 ","1.77 ","1.29 "
"22","2014","5","Cu3(BTC)2","","1000","1439","8.6","8.6","10.00%","","Ultem 1000","","42.5","","","","35","3.5","0.03 ","1.14 ","36.77 ","1.25 ","1.36 ","1.09 "
"23","","","Cu3(BTC)2","","1000","1439","8.6","8.6","20.00%","","Ultem 1000","","42.5","","","","35","3.5","0.03 ","1.14 ","36.77 ","2.04 ","2.09 ","1.03 "
"24","","","Cu3(BTC)2","","1000","1439","","8.6","30.00%","","Ultem 1000","","42.5","","","","35","3.5","0.03 ","1.14 ","36.77 ","3.92 ","3.62 ","0.92 "
"25","","","Cu3(BTC)2","","1000","1439","8.6","8.6","40.00%","","Ultem 1000","","42.5","","","","35","3.5","0.03 ","1.14 ","36.77 ","17.34 ","10.04 ","0.58 "
"27","2014","6","Cu3(BTC)2","150℃","400","","8.6","8.6","10.00%","mixed with matrix, then heat at150","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","1.96 ","1.82 ","0.93 "
"28","","","Cu3(BTC)2","165℃","400","29.4","8.6","8.6","10.00%","165","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","2.80 ","2.56 ","0.91 "
"29","","","Cu3(BTC)2","180℃","400","","8.6","8.6","10.00%","180","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","2.65 ","2.35 ","0.89 "
"30","","","Cu3(BTC)2","200℃","400","703.2","8.6","8.6","10.00%","200","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","2.73 ","2.47 ","0.90 "
"31","","","Cu3(BTC)2","220℃","400","","","8.6","10.00%","220","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","2.73 ","2.45 ","0.90 "
"32","","","Cu3(BTC)2","220℃","400","","8.6","8.6","15.00%","150","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","2.82 ","2.58 ","0.91 "
"33","","","Cu3(BTC)2","220℃","400","","8.6","8.6","20.00%","","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","3.51 ","3.29 ","0.94 "
"34","","","Cu3(BTC)2","220℃","400","","8.6","8.6","30.00%","","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","4.42 ","3.98 ","0.90 "
"35","","","Cu3(BTC)2","220℃","400","","8.6","8.6","40.00%","","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","5.77 ","5.47 ","0.95 "
"36","","","Cu3(BTC)2","220℃","400","","8.6","8.6","50.00%","","ODPA–TMPDA","","55","","","","35","2","1.63 ","47.70 ","29.29 ","29.11 ","10.34 ","0.36 "
"39","","","Cu3(BTC)2","165℃","400","29.4","8.6","8.6","10.00%","165","ODPA–TMPDA","","55","","","","35","2","0.20 ","7.60 ","37.50 ","2.00 ","2.03 ","1.01 "
"40","","","Cu3(BTC)2","200℃","400","703","8.6","8.6","10.00%","200","ODPA–TMPDA","","55","","","","35","2","0.21 ","8.10 ","37.80 ","3.06 ","3.06 ","1.00 "
"42","2013","7","Cu3(BTC)2","","50000","1669.1","8.6","8.6","10.00%","","PPO","","30","","","","30","10","4.39 ","69.00 ","15.70 ","1.25 ","1.09 ","0.87 "
"43","","","Cu3(BTC)2","","13000","1791.5","8.6","8.6","10.00%","40% sonication amplitude","PPO","","30","","","","30","10","4.39 ","69.00 ","15.70 ","0.83 ","1.23 ","1.49 "
"44","","","Cu3(BTC)2","","6000","2262.2","8.6","8.6","10.00%","100%sonication amplitude","PPO","","30","","","","30","10","4.39 ","69.00 ","15.70 ","0.69 ","1.25 ","1.80 "
"46","2019","8","CuZnIF","","550","","","19.00 ","0.10%","","PEBAX1657","","20","","","","25","14","3.00 ","126.00 ","42.00 ","1.21 ","1.40 ","1.15 "
"47","","","CuZnIF","","550","","","19.00 ","0.50%","","PEBAX1657","","20","","","","25","14","3.00 ","126.00 ","42.00 ","1.12 ","1.51 ","1.36 "
"48","","","CuZnIF","","550","","","19.00 ","1.00%","","PEBAX1657","","20","","","","25","14","3.00 ","126.00 ","42.00 ","1.35 ","1.63 ","1.21 "
"49","","","CuZnIF","","550","","","19.00 ","1.50%","","PEBAX1657","","20","","","","25","14","3.00 ","126.00 ","42.00 ","1.35 ","1.57 ","1.17 "
"50","","","CuZnIF","","550","","","19.00 ","2.00%","","PEBAX1657","","20","","","","25","14","3.00 ","126.00 ","42.00 ","1.51 ","1.55 ","1.02 "
"51","","","CuZnIF","","550","","","19.00 ","10.00%","","PEBAX1657","","20","","","","25","14","3.00 ","126.00 ","42.00 ","1.49 ","1.56 ","1.05 "
"53","2017","9","Cu3(BTC)2","","","1261","8.6","8.6","5.00%","","PEBAX1657","","75","","","","30","0.3","5.12 ","84.20 ","16.45 ","1.00 ","1.09 ","1.08 "
"54","","","Cu3(BTC)2","","","1261","8.6","8.6","10.00%","","PEBAX1657","","75","","","","30","0.3","5.12 ","84.20 ","16.45 ","1.05 ","1.22 ","1.16 "
"55","","","Cu3(BTC)2","","","1261","8.6","8.6","15.00%","","PEBAX1657","","75","","","","30","0.3","5.12 ","84.20 ","16.45 ","1.23 ","1.53 ","1.25 "
"56","","","Cu3(BTC)2","","","1261","8.6","8.6","20.00%","","PEBAX1657","","75","","","","30","0.3","5.12 ","84.20 ","16.45 ","1.67 ","1.99 ","1.19 "
"57","","","Cu3(BTC)2","NH2","","644","8.6","8.6","5.00%","","PEBAX1657","","75","","","","30","0.3","5.12 ","84.20 ","16.45 ","0.99 ","1.10 ","1.12 "
"58","","","Cu3(BTC)2","NH2","","644","8.6","8.6","10.00%","","PEBAX1657","","75","","","","30","0.3","5.12 ","84.20 ","16.45 ","1.01 ","1.29 ","1.27 "
"59","","","Cu3(BTC)2","NH2","","644","8.6","8.6","15.00%","","PEBAX1657","","75","","","","30","0.3","5.12 ","84.20 ","16.45 ","1.12 ","1.61 ","1.43 "
"60","","","Cu3(BTC)2","NH2","","644","8.6","8.6","20.00%","","PEBAX1657","","75","","","","30","0.3","5.12 ","84.20 ","16.45 ","1.27 ","2.02 ","1.60 "
"84","2008","13","Cu–BPY–HFS","","250","2000","8","8","10.00%","","Matrimid 5218","","","2.57","","","35.0 ","3.9","0.21 ","7.29 ","34.71 ","1.14 ","1.07 ","0.94 "
"85","","","Cu–BPY–HFS","","250","2000","8","8","20.00%","","Matrimid 5218","","","2.67","","","35.0 ","3.9","0.21 ","7.29 ","34.71 ","1.71 ","1.36 ","0.79 "
"86","","","Cu–BPY–HFS","","250","2000","8","8","20.00%","","Matrimid 5218","","","2.67","","","35.0 ","3.9","0.21 ","7.29 ","34.71 ","1.76 ","1.37 ","0.78 "
"87","","","Cu–BPY–HFS","","250","2000","8","8","30.00%","","Matrimid 5218","","","2.54","","","35.0 ","3.9","0.21 ","7.29 ","34.71 ","1.81 ","1.42 ","0.79 "
"88","","","Cu–BPY–HFS","","250","2000","8","8","40.00%","","Matrimid 5218","","","/","","","35.0 ","3.9","0.21 ","7.29 ","34.71 ","2.81 ","2.07 ","0.74 "
"94","2019","14","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","1.24 ","1.33 ","1.07 "
"95","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","1.35 ","1.67 ","1.23 "
"96","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","1.37 ","1.68 ","1.22 "
"97","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","1.43 ","1.70 ","1.19 "
"98","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","1.32 ","1.72 ","1.30 "
"99","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","1.47 ","1.69 ","1.15 "
"100","","","MOF-5","Ni","3000","","7.8 ","7.8 ","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","1.46 ","1.79 ","1.23 "
"101","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","1.46 ","1.76 ","1.20 "
"102","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","1.47 ","1.73 ","1.18 "
